season,Name,Position,Team,Games,Age,Salary,AAV,Goals,Assists,Points,Goals/60,Assists/60,Points/60,Penalty_Diff,CF%,PDO,PSh%,ZSO%Rel,TOI/Gm
20132014,Paul.Bissonnette,LR,PHX,39,28,0.75,0.738,2,6,8,0.64,1.92,2.55,-1,52.62,104.32,8,4.15,4.82
20142015,Anthony.Bitetto,D,NSH,7,24,0.605,0.605,0,0,0,0,0,0,1,48.63,97.01,0,20.2,11.38
20132014,Nick.Bjugstad,C,FLA,76,21,0.9,0.9,15,18,33,0.9,1.08,1.98,2,50.83,98.63,10.07,4.42,13.18
20142015,Nick.Bjugstad,C,FLA,72,22,0.9,0.9,13,14,27,0.83,0.9,1.73,3,50.36,99.17,8.55,3.03,13.03
20142015,Jesse.Blacker,D,ANA,1,23,0.55,0.55,0,0,0,0,0,0,0,15.38,71.43,NA,23.33,6.89
20132014,Jonathon.Blum,D,MIN,15,24,0.65,0.65,0,1,1,0,0.37,0.37,0,54.47,98.43,0,6.68,10.94
20142015,Jonathon.Blum,D,MIN,4,25,0.675,0.675,0,1,1,0,1.75,1.75,-1,52.54,85.56,0,-15.27,8.59
20132014,Mike.Blunden,RL,MTL,7,26,0.55,0.55,0,0,0,0,0,0,0,25,100.77,0,-3.69,5.78
20142015,Mike.Blunden,RL,T.B,2,27,0.6,0.6,0,0,0,0,0,0,0,44.44,87.5,NA,-15.12,10.04
20132014,Troy.Bodie,R,TOR,47,28,0.6,0.6,3,7,10,0.45,1.05,1.5,6,42.99,103.85,6.12,5.82,8.5
20142015,Troy.Bodie,R,TOR,5,29,0.6,0.6,0,0,0,0,0,0,0,50,100,0,9.32,4.77
20132014,Mikkel.Boedker,RL,PHX,82,23,2.3,2.55,11,19,30,0.57,0.99,1.56,13,48.46,100.08,8.09,-2.33,14.06
20142015,Mikkel.Boedker,RL,ARI,45,24,2.8,2.55,10,5,15,0.97,0.48,1.45,9,47.51,98.59,17.24,10.2,13.76
20132014,Zach.Bogosian,D,WPG,55,23,4,5.143,3,6,9,0.19,0.37,0.56,-11,49.39,100.72,3.23,-1.23,17.58
20142015,Zach.Bogosian,D,BUF/WPG,62,24,4,5.143,3,14,17,0.16,0.74,0.9,-12,46.63,101.11,3.8,1.38,18.26
20142015,Alexandre.Bolduc,CL,ARI,3,29,0.6,0.6,0,0,0,0,0,0,-1,38.71,95,0,1.1,10.55
20132014,Dave.Bolland,C,TOR,23,27,3.375,3.375,3,3,6,0.66,0.66,1.31,-9,44.14,98,12.5,-4.99,11.91
20142015,Dave.Bolland,C,FLA,53,28,5.5,5.5,4,10,14,0.37,0.92,1.29,-10,49.82,100.7,6.25,-10.37,12.32
20132014,Brandon.Bollig,L,CHI,97,26,0.575,0.575,7,8,15,0.46,0.53,0.99,-6,49.26,97.59,6.03,-45.19,9.38
20142015,Brandon.Bollig,L,CGY,73,27,1.15,1.25,3,4,7,0.3,0.4,0.7,-8,42.98,97.16,3.66,-6.82,8.16
20132014,Jared.Boll,R,CBJ,29,27,1.15,1.05,1,1,2,0.28,0.28,0.56,1,41.3,96.36,8.33,4.13,7.33
20142015,Jared.Boll,R,CBJ,72,28,1.7,1.7,1,4,5,0.11,0.46,0.57,-8,36.95,98.41,3.57,0.83,7.25
20132014,Nick.Bonino,CL,ANA,90,25,0.7,0.7,16,17,33,0.96,1.02,1.98,0,49,103.81,14.55,-1.55,11.1
20142015,Nick.Bonino,CL,VAN,81,26,1.7,1.9,15,18,33,0.9,1.08,1.99,0,50.92,99.49,12.1,-4.57,12.31
20132014,David.Booth,LR,VAN,66,28,4.5,4.25,9,8,17,0.64,0.57,1.21,8,52,100.5,8.11,-3.86,12.8
20142015,David.Booth,LR,TOR,59,29,1.1,1.1,7,5,12,0.69,0.49,1.18,2,46.96,97.4,7.37,-0.58,10.32
20132014,Patrick.Bordeleau,LR,COL,89,27,1,1,6,5,11,0.59,0.49,1.08,3,42.05,101.22,15.38,9.7,6.89
20142015,Patrick.Bordeleau,LR,COL,1,28,1,1,0,0,0,0,0,0,0,27.27,100,NA,23.16,7.02
20132014,Mark.Borowiecki,D,OTT,13,24,0.55,0.575,1,0,1,0.42,0,0.42,-1,48.39,96.18,16.67,-13.14,11.06
20142015,Mark.Borowiecki,D,OTT,69,25,0.6,0.575,1,8,9,0.06,0.52,0.58,-11,46.59,103.32,2.94,-11.12,13.46
20132014,Robert.Bortuzzo,D,PIT,62,24,0.55,0.6,0,9,9,0,0.63,0.63,-3,46.57,99.19,0,-0.15,13.9
20142015,Robert.Bortuzzo,D,PIT/STL,51,25,0.65,0.6,3,5,8,0.26,0.43,0.69,-6,53.11,96.47,6,-1.14,13.68
20132014,Pierre-Marc.Bouchard,C,NYI,28,29,2,2,2,4,6,0.36,0.72,1.08,-4,51.08,93.56,4.88,-9.47,11.95
20132014,Reid.Boucher,LR,N.J,23,20,0.642,0.693,2,5,7,0.52,1.3,1.82,0,57.03,102.55,7.41,14.56,10.05
20142015,Reid.Boucher,LR,N.J,11,21,0.693,0.693,1,0,1,0.47,0,0.47,2,51.96,97.02,5.26,17.5,11.51
20132014,Francis.Bouillon,D,MTL,61,37,1.5,1.5,3,3,6,0.2,0.2,0.4,-8,43.88,100.3,10.34,3.46,14.9
20132014,Eric.Boulton,L,NYI,23,37,0.55,0.55,2,2,4,0.82,0.82,1.64,-1,36.84,101.22,10.53,4.43,6.36
20142015,Eric.Boulton,L,NYI,10,38,0.65,0.65,2,0,2,1.66,0,1.66,-1,44.27,101.11,22.22,33.17,7.24
20132014,Lance.Bouma,C,CGY,78,23,0.578,0.578,4,10,14,0.29,0.73,1.02,4,43.51,99.74,5.26,-11.68,10.51
20142015,Lance.Bouma,C,CGY,80,24,0.775,0.775,15,15,30,0.95,0.95,1.9,5,41.44,102.98,15.96,-14.24,11.83
20132014,Michael.Bournival,LR,MTL,74,21,0.69,0.66,5,5,10,0.43,0.43,0.87,-4,44.19,98.22,6.85,-2.11,9.36
20142015,Michael.Bournival,LR,MTL,29,22,0.65,0.66,3,2,5,0.82,0.55,1.37,1,48.08,102.68,11.11,-2.32,7.58
20132014,Gabriel.Bourque,L,NSH,74,22,0.725,0.775,8,15,23,0.52,0.98,1.51,4,52.32,97.86,8.25,7.24,12.38
20142015,Gabriel.Bourque,L,NSH,74,23,0.825,0.775,2,9,11,0.15,0.7,0.85,1,46.78,95.82,2.78,-30.28,10.5
20132014,Rene.Bourque,LR,MTL,80,31,4,3.333,14,9,23,0.83,0.53,1.36,-2,46.25,101.94,8.97,-3.02,12.71
20142015,Rene.Bourque,LR,ANA/CBJ/MTL,51,32,2.5,3.333,3,7,10,0.31,0.71,1.02,-4,48.26,96.89,3.8,1.46,11.54
20142015,Ryan.Bourque,L,NYR,1,23,0.55,0.562,0,0,0,0,0,0,0,75,50,0,0,12.07
20132014,Jay.Bouwmeester,D,STL,88,29,6.6,6.68,2,24,26,0.08,0.93,1.01,-1,53.71,101.55,1.63,-1.47,17.61
20142015,Jay.Bouwmeester,D,STL,78,30,5,5.4,2,5,7,0.09,0.22,0.31,-11,50.7,101.42,2.53,-1.39,17.34
20132014,Drayson.Bowman,L,CAR,70,24,0.6,0.6,4,7,11,0.36,0.63,0.99,1,45.54,100.72,5.26,-19.75,9.52
20142015,Drayson.Bowman,L,MTL,3,25,0.575,0.575,0,0,0,0,0,0,0,33.33,110,NA,3.6,6.3
20132014,Johnny.Boychuk,D,BOS,87,29,3.4,3.367,6,13,19,0.24,0.52,0.76,-5,54.99,101.39,4.17,-4.18,17.23
20142015,Johnny.Boychuk,D,NYI,79,30,3.6,3.367,3,16,19,0.14,0.74,0.87,4,55.31,99.63,2.16,0.68,16.5
20132014,Zach.Boychuk,LR,CAR,11,23,0.55,0.55,1,3,4,0.6,1.81,2.41,1,46.15,105.3,7.14,-1.4,9.04
20142015,Zach.Boychuk,LR,CAR,31,24,0.6,0.6,3,3,6,0.57,0.57,1.14,-1,48.97,99.14,8.57,-1.79,10.22
20132014,Brad.Boyes,R,FLA,78,31,1,1,18,14,32,1.02,0.79,1.82,-5,50.95,98.46,12.16,1.23,13.55
20142015,Brad.Boyes,R,FLA,78,32,2.75,2.625,9,19,28,0.53,1.12,1.66,-2,51.55,101.42,7.76,-0.03,13.01
20132014,Brian.Boyle,CL,NYR,107,28,1.8,1.7,7,12,19,0.39,0.66,1.05,-4,46.39,98.89,4.7,-33.97,10.15
20142015,Brian.Boyle,CL,T.B,107,29,2,2,12,8,20,0.66,0.44,1.1,0,49.08,98.63,7.74,-18.7,10.17
20132014,Dan.Boyle,D,S.J,82,37,6.667,6.667,4,9,13,0.18,0.4,0.58,-4,52.97,98.72,4.3,4.27,16.3
20142015,Dan.Boyle,D,NYR,84,38,4.5,4.5,8,7,15,0.36,0.31,0.67,1,53.28,101.38,8.7,18.12,15.89
20132014,Tyler.Bozak,C,TOR,58,27,3.5,4.2,10,26,36,0.65,1.69,2.34,4,42.92,103.19,17.24,-0.49,15.93
20142015,Tyler.Bozak,C,TOR,82,28,4,4.2,7,16,23,0.38,0.86,1.24,6,45.86,97.6,8.75,5.33,13.59
20132014,Derick.Brassard,C,NYR,104,25,3.7,3.2,15,19,34,0.7,0.89,1.58,11,53.11,100.24,10.07,10.87,12.39
20142015,Derick.Brassard,C,NYR,99,26,7,5,16,33,49,0.72,1.48,2.2,1,52.59,101.43,9.94,9.59,13.48
20132014,Justin.Braun,D,S.J,89,26,1.25,1.25,4,14,18,0.16,0.57,0.73,0,53.34,100.37,3.77,-7.42,16.64
20142015,Justin.Braun,D,S.J,70,27,1.5,1.25,1,18,19,0.05,0.9,0.95,-4,50.46,99.93,1.25,-6.16,17.21
20132014,Christopher.Breen,D,CGY,9,24,0.578,0.578,0,2,2,0,1.44,1.44,0,45.11,105.52,0,26.98,9.29
20142015,T.J..Brennan,D,TOR,6,25,NA,NA,0,0,0,0,0,0,-1,52.67,89.99,0,18.61,12.33
20132014,Eric.Brewer,D,T.B,81,34,4,3.875,4,9,13,0.2,0.46,0.66,-11,50.1,99.38,5,-4.28,14.52
20142015,Eric.Brewer,D,ANA/T.B/TOR,44,35,3.75,3.875,2,6,8,0.17,0.51,0.68,-10,44.87,98.89,7.14,-4.05,15.93
